ゼロ,zero,"Loanword from English. Common in sports scores (ゼロたいゼロ = 0-0)."
れい,zero (formal),"Used in math, phone numbers, and temperatures (れいど = 0°C)."
いち,one,"Basic number 1. Example: いちにち (one day), いっさい (1 year old)."
に,two,"Number 2. Example: にほん (two long objects), にじ (2 o’clock)."
さん,three,"Number 3. Example: さんにん (three people), さんがつ (March)."
よん,four,"Preferred reading for 4. Example: よにん (four people), よっか (4th day of month)."
ご,five,"Number 5. Example: ごふん (five minutes), ごじ (5 o’clock)."
ろく,six,"Number 6. Example: ろっぷん (six minutes), ろくじ (6 o’clock)."
なな,seven,"Preferred reading for 7. Example: ななにん (seven people), なのか (7th day of month)."
はち,eight,"Number 8. Example: はっぷん (eight minutes), はっさい (8 years old)."
きゅう,nine,"Number 9. Example: きゅうじ (9 o’clock), きゅうふん (9 minutes)."
じゅう,ten,"Number 10. Example: じゅっぷん (10 minutes), じゅうじ (10 o’clock)."
じゅういち,eleven,"'10 + 1'. Example: じゅういちじ (11 o’clock)."
じゅうよん,fourteen,"'10 + 4'. Example: じゅうよっか (14th day of month)."
じゅうなな,seventeen,"'10 + 7'. Example: じゅうななじ (17 o’clock, 5 pm)."
にじゅう,twenty,"'2 × 10'. Example: にじゅうごさい (25 years old), にじゅうにち (20th day)."
さんじゅう,thirty,"'3 × 10'. Example: さんじゅうぷん (30 minutes)."
ろくじゅう,sixty,"'6 × 10'. Example: ろくじゅうにん (60 people)."
はちじゅう,eighty,"'8 × 10'. Example: はちじゅうえん (80 yen)."
きゅうじゅう,ninety,"'9 × 10'. Example: きゅうじゅうにん (90 people)."
ひゃく,one hundred,"100. Example: ひゃくえん (100 yen). Irregulars: さんびゃく (300), ろっぴゃく (600), はっぴゃく (800)."
にひゃく,two hundred,"200. Example: にひゃくえん (200 yen)."
せん,one thousand,"1000. Example: せんえん (1000 yen). Irregulars: さんぜん (3000), はっせん (8000)."
まん,ten thousand,"10,000. Example: いちまんえん (10,000 yen bill). Large numbers in Japanese group by 10,000."
じゅうまん,one hundred thousand,"100,000. Example: じゅうまんにん (100,000 people)."
ひゃくまん,one million,"1,000,000. Example: ひゃくまんえん (1 million yen)."
