"これ","এটি / এই জিনিস (আমার কাছে)","これ (Kore)

Literal meaning: “এটি / এই জিনিস (আমার কাছে)”.

Usage: বক্তার কাছাকাছি থাকা জিনিস বোঝাতে ব্যবহৃত হয়। এটি একটি Demonstrative pronoun।

Politeness: Neutral.

Examples:
これは ほん です。→ এটি একটি বই।
これは わたしの です。→ এটি আমার।

👉 Think of it as: “এই (আমার কাছে থাকা জিনিস)।”"
"それ","ওটা / সেই জিনিস (তোমার কাছে)","それ (Sore)

Literal meaning: “ওটা / সেই জিনিস (তোমার কাছে)”.

Usage: শ্রোতার কাছাকাছি থাকা জিনিস বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
それ は ペン です。→ ওটা একটি কলম।
それ は あなたの ですか。→ ওটা কি তোমার?

👉 Think of it as: “ওটা (তোমার কাছে থাকা জিনিস)।”"
"あれ","ওখানে ওটা / ওই জিনিস (দূরে)","あれ (Are)

Literal meaning: “ওখানে ওটা / ওই জিনিস (দূরে)”.

Usage: দুজনের থেকেই দূরে থাকা জিনিস বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
あれ は じどうしゃ です。→ ওটা একটি গাড়ি।
あれ は だれ の ですか。→ ওটা কার?

👉 Think of it as: “ওখানকার জিনিস।”"
"この～","এই ~","この～ (Kono～)

Literal meaning: “এই ~”.

Usage: noun এর আগে বসে বিশেষভাবে নির্দেশ করতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
このほん は あたらしい です。→ এই বই নতুন।
このかばん は わたしの です。→ এই ব্যাগ আমার।

👉 Think of it as: “এই ~ (noun এর আগে)।”"
"その～","সেই ~","その～ (Sono～)

Literal meaning: “সেই ~”.

Usage: noun এর আগে বসে বিশেষভাবে নির্দেশ করতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
そのほん は あたらしい です。→ এই বই নতুন।
そのかばん は わたしの です。→ এই ব্যাগ আমার।

👉 Think of it as: “সেই ~ (noun এর আগে)।”"
"あの～","ওই ~ (দূরে)","あの～ (Ano～)

Literal meaning: “ওই ~ (দূরে)”.

Usage: noun এর আগে বসে বিশেষভাবে নির্দেশ করতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
あのほん は あたらしい です。→ এই বই নতুন।
あのかばん は わたしの です。→ এই ব্যাগ আমার।

👉 Think of it as: “ওই ~ (দূরে) (noun এর আগে)।”"
"ほん","বই","ほん (Hon)

Literal meaning: “বই”.

Usage: একটি বই বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ほん は ほん です。→ এটি একটি বই।
これは ほん です。→ এটি বই।

👉 Think of it as: “বই।”"
"じしょ","অভিধান","じしょ (Jisho)

Literal meaning: “অভিধান”.

Usage: একটি অভিধান বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
じしょ は ほん です。→ এটি একটি অভিধান।
これは じしょ です。→ এটি অভিধান।

👉 Think of it as: “অভিধান।”"
"ざっし","পত্রিকা / ম্যাগাজিন","ざっし (Zasshi)

Literal meaning: “পত্রিকা / ম্যাগাজিন”.

Usage: একটি পত্রিকা / ম্যাগাজিন বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ざっし は ほん です。→ এটি একটি পত্রিকা / ম্যাগাজিন।
これは ざっし です。→ এটি পত্রিকা / ম্যাগাজিন।

👉 Think of it as: “পত্রিকা / ম্যাগাজিন।”"
"しんぶん","সংবাদপত্র","しんぶん (Shimbun)

Literal meaning: “সংবাদপত্র”.

Usage: একটি সংবাদপত্র বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
しんぶん は ほん です。→ এটি একটি সংবাদপত্র।
これは しんぶん です。→ এটি সংবাদপত্র।

👉 Think of it as: “সংবাদপত্র।”"
"ノート","খাতা / নোটবুক","ノート (Nooto)

Literal meaning: “খাতা / নোটবুক”.

Usage: একটি খাতা / নোটবুক বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ノート は ほん です。→ এটি একটি খাতা / নোটবুক।
これは ノート です。→ এটি খাতা / নোটবুক।

👉 Think of it as: “খাতা / নোটবুক।”"
"てちょう","নোটবুক / ডায়েরি","てちょう (Techou)

Literal meaning: “নোটবুক / ডায়েরি”.

Usage: একটি নোটবুক / ডায়েরি বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
てちょう は ほん です。→ এটি একটি নোটবুক / ডায়েরি।
これは てちょう です。→ এটি নোটবুক / ডায়েরি।

👉 Think of it as: “নোটবুক / ডায়েরি।”"
"めいし","ভিজিটিং কার্ড","めいし (Meishi)

Literal meaning: “ভিজিটিং কার্ড”.

Usage: একটি ভিজিটিং কার্ড বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
めいし は ほん です。→ এটি একটি ভিজিটিং কার্ড।
これは めいし です。→ এটি ভিজিটিং কার্ড।

👉 Think of it as: “ভিজিটিং কার্ড।”"
"カード","কার্ড","カード (Kaado)

Literal meaning: “কার্ড”.

Usage: একটি কার্ড বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
カード は ほん です。→ এটি একটি কার্ড।
これは カード です。→ এটি কার্ড।

👉 Think of it as: “কার্ড।”"
"テレビ","টেলিভিশন","テレビ (Terebi)

Literal meaning: “টেলিভিশন”.

Usage: একটি টেলিভিশন বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
テレビ は ほん です。→ এটি একটি টেলিভিশন।
これは テレビ です。→ এটি টেলিভিশন।

👉 Think of it as: “টেলিভিশন।”"
"ラジオ","রেডিও","ラジオ (Rajio)

Literal meaning: “রেডিও”.

Usage: একটি রেডিও বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ラジオ は ほん です。→ এটি একটি রেডিও।
これは ラジオ です。→ এটি রেডিও।

👉 Think of it as: “রেডিও।”"
"カメラ","ক্যামেরা","カメラ (Kamera)

Literal meaning: “ক্যামেরা”.

Usage: একটি ক্যামেরা বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
カメラ は ほん です。→ এটি একটি ক্যামেরা।
これは カメラ です。→ এটি ক্যামেরা।

👉 Think of it as: “ক্যামেরা।”"
"コンピューター","কম্পিউটার","コンピューター (Konpyuutaa)

Literal meaning: “কম্পিউটার”.

Usage: একটি কম্পিউটার বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
コンピューター は ほん です。→ এটি একটি কম্পিউটার।
これは コンピューター です。→ এটি কম্পিউটার।

👉 Think of it as: “কম্পিউটার।”"
"じどうしゃ","গাড়ি / মোটরগাড়ি","じどうしゃ (Jidousha)

Literal meaning: “গাড়ি / মোটরগাড়ি”.

Usage: একটি গাড়ি / মোটরগাড়ি বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
じどうしゃ は ほん です。→ এটি একটি গাড়ি / মোটরগাড়ি।
これは じどうしゃ です。→ এটি গাড়ি / মোটরগাড়ি।

👉 Think of it as: “গাড়ি / মোটরগাড়ি।”"
"くるま","গাড়ি","くるま (Kuruma)

Literal meaning: “গাড়ি”.

Usage: একটি গাড়ি বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
くるま は ほん です。→ এটি একটি গাড়ি।
これは くるま です。→ এটি গাড়ি।

👉 Think of it as: “গাড়ি।”"
"でんしゃ","ট্রেন (বিদ্যুৎ চালিত)","でんしゃ (Densha)

Literal meaning: “ট্রেন (বিদ্যুৎ চালিত)”.

Usage: একটি ট্রেন (বিদ্যুৎ চালিত) বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
でんしゃ は ほん です。→ এটি একটি ট্রেন (বিদ্যুৎ চালিত)।
これは でんしゃ です。→ এটি ট্রেন (বিদ্যুৎ চালিত)।

👉 Think of it as: “ট্রেন (বিদ্যুৎ চালিত)।”"
"ちかてつ","ভূগর্ভস্থ রেল (মেট্রো)","ちかてつ (Chikatetsu)

Literal meaning: “ভূগর্ভস্থ রেল (মেট্রো)”.

Usage: একটি ভূগর্ভস্থ রেল (মেট্রো) বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ちかてつ は ほん です。→ এটি একটি ভূগর্ভস্থ রেল (মেট্রো)।
これは ちかてつ です。→ এটি ভূগর্ভস্থ রেল (মেট্রো)।

👉 Think of it as: “ভূগর্ভস্থ রেল (মেট্রো)।”"
"しんかんせん","শিনকানসেন (বুলেট ট্রেন)","しんかんせん (Shinkansen)

Literal meaning: “শিনকানসেন (বুলেট ট্রেন)”.

Usage: একটি শিনকানসেন (বুলেট ট্রেন) বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
しんかんせん は ほん です。→ এটি একটি শিনকানসেন (বুলেট ট্রেন)।
これは しんかんせん です。→ এটি শিনকানসেন (বুলেট ট্রেন)।

👉 Think of it as: “শিনকানসেন (বুলেট ট্রেন)।”"
"じてんしゃ","সাইকেল","じてんしゃ (Jitensha)

Literal meaning: “সাইকেল”.

Usage: একটি সাইকেল বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
じてんしゃ は ほん です。→ এটি একটি সাইকেল।
これは じてんしゃ です。→ এটি সাইকেল।

👉 Think of it as: “সাইকেল।”"
"でんわ","টেলিফোন","でんわ (Denwa)

Literal meaning: “টেলিফোন”.

Usage: একটি টেলিফোন বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
でんわ は ほん です。→ এটি একটি টেলিফোন।
これは でんわ です。→ এটি টেলিফোন।

👉 Think of it as: “টেলিফোন।”"
"けしごむ","রাবার","けしごむ (Keshigomu)

Literal meaning: “রাবার”.

Usage: একটি রাবার বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
けしごむ は ほん です。→ এটি একটি রাবার।
これは けしごむ です。→ এটি রাবার।

👉 Think of it as: “রাবার।”"
"つくえ","ডেস্ক","つくえ (Tsukue)

Literal meaning: “ডেস্ক”.

Usage: একটি ডেস্ক বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
つくえ は ほん です。→ এটি একটি ডেস্ক।
これは つくえ です。→ এটি ডেস্ক।

👉 Think of it as: “ডেস্ক।”"
"いす","চেয়ার","いす (Isu)

Literal meaning: “চেয়ার”.

Usage: একটি চেয়ার বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
いす は ほん です。→ এটি একটি চেয়ার।
これは いす です。→ এটি চেয়ার।

👉 Think of it as: “চেয়ার।”"
"チョコレート","চকলেট","チョコレート (Chokoreeto)

Literal meaning: “চকলেট”.

Usage: একটি চকলেট বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
チョコレート は ほん です。→ এটি একটি চকলেট।
これは チョコレート です。→ এটি চকলেট।

👉 Think of it as: “চকলেট।”"
"コーヒー","কফি","コーヒー (Koohii)

Literal meaning: “কফি”.

Usage: একটি কফি বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
コーヒー は ほん です。→ এটি একটি কফি।
これは コーヒー です。→ এটি কফি।

👉 Think of it as: “কফি।”"
"おみやげ","উপহার / স্মারক","おみやげ (Omiyage)

Literal meaning: “উপহার / স্মারক”.

Usage: একটি উপহার / স্মারক বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
おみやげ は ほん です。→ এটি একটি উপহার / স্মারক।
これは おみやげ です。→ এটি উপহার / স্মারক।

👉 Think of it as: “উপহার / স্মারক।”"
"えいご","ইংরেজি ভাষা","えいご (Eigo)

Literal meaning: “ইংরেজি ভাষা”.

Usage: একটি ইংরেজি ভাষা বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
えいご は ほん です。→ এটি একটি ইংরেজি ভাষা।
これは えいご です。→ এটি ইংরেজি ভাষা।

👉 Think of it as: “ইংরেজি ভাষা।”"
"にほんご","জাপানি ভাষা","にほんご (Nihongo)

Literal meaning: “জাপানি ভাষা”.

Usage: একটি জাপানি ভাষা বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
にほんご は ほん です。→ এটি একটি জাপানি ভাষা।
これは にほんご です。→ এটি জাপানি ভাষা।

👉 Think of it as: “জাপানি ভাষা।”"
"なん","কী","なん

Literal meaning: “কী”.

Usage: একটি কী বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
なん は ほん です。→ এটি একটি কী।
これは なん です。→ এটি কী।

👉 Think of it as: “কী।”"
